id,name,url,date,comment,reply
1,Kevin,https://www.kevinemmanuel.com/,"2025-01-30 20:47:34","I got your socks in the mail! Going to cherish these :)",
2,"Eugene Jackson",https://www.youtube.com/watch?v=jMH5Sr03M_E,"2025-02-07 13:44:18","WE MUST NOT FORGET ABOUT THE TECHNOLOGY ACQUIRED BY THE NAZIS...... THEY ARE SECRETLY LOOKING FOR POWERFUL WEAPONS THAT WILL LEAD TO EVENTS AND CHANGES IN THE WORLD. https://www.youtube.com/watch?v=jMH5Sr03M_E",
3,sion,https://sionique.neocities.org/,"2025-02-17 05:56:12","Why arent you even responding to my email????? Are you even ignoring me? 😢",
4,stefans,https://mannersplease.neocities.org/,"2025-02-17 12:30:09","love this site so fucking much, it inspires me sm. What website host do you use?? is this neocities or what? I love this place my gooooodddd",
5,Jambo,https://projectaldera.neocities.org/,"2025-03-08 13:55:47","Love the site design, looks so damn good :D<br />The art is pretty aswell ^^",
6,Jonnie,,"2025-07-30 23:12:02","Love the new updates to the site! It looks incredible.",
7,Freesiaaaaaaa,https://sheep-star-showers.neocities.org/,"2025-08-07 12:42:15","your site is sooooooo goatedddddd!!",
8,myrtletribe,https://myrtletribe.neocities.org,"2025-08-09 04:35:19","loove the website, really cool aesthetic! and lovely art",
9,Anonymous,,"2025-08-11 01:33:50","so pretty lo lo love it!",
10,zak,https://fancypantszak.bandcamp.com/album/midwestern-sunset,"2025-08-17 01:38:23","hello! just popping around webrings and such. really great artwork!",
11,spiderdraws,,"2025-08-22 01:16:50","imagine having such an insanely cool webbed site",
12,HotSoup,http://www.local-8s.com,"2025-08-29 23:00:29","Love ur site name - freak phone lets gooooo!",
13,Senann,,"2025-09-09 07:39:58","Nice website! And your drawings look very inspiring, all though, I've noticed more prevalent dark colors and sharper shapes towards 2025. I hope, that this is just coincidental and you're doing fine!",
14,Sploingledoo,https://sploingledoosite.neocities.org,"2025-10-04 06:00:39","this website is very cool<br />",
15,lll,,"2025-10-12 12:11:49","KEEP IT UP",
16,argo,,"2025-10-27 14:08:22","your website and art are so cool!! great job ",
17,phalanges,,"2025-10-30 02:59:09","Your site is so cool! Every page has its own unique design ^^",
18,"Sam and kalani and logan   we tried to include emoticons but it wouldnt let us this is so sad",http://spacehey.com/lowfe,"2025-11-03 09:21:05","we're all in chemistry scrolling thru neocities websites . hi -kalani<br /><br />the website is pawsome - sam",
19,Eli,,"2025-11-07 23:25:25","Every other month I come back to visit your website. It's so wonderful to look at. I also love your other work too :)",
20,something,,"2025-11-12 20:34:40","Internet's big isn't it",
21,Anon,,"2025-11-27 01:49:09","Love your website!! its incredible!!",
22,yo,,"2025-12-09 06:22:17","coolgamer4556 was here!",
23,"Caden Baird",,"2025-12-11 13:13:41","I really want to make a website kinda like this or Tofokyo sometime, cus it seems way more soulful and real than anything I see online otherwise. IK it's kinda difficult at first tho so ima take my time.<br /><br /><br />What are your thoughts on the myth of Pygmalion and Galatea? I saw it as a reference in abook called &quot;on knowing&quot; from 1964 that was way to highbrow for me:<br />----------&quot;to be dominated by an object of one's own creation - perhaps its extreme is Pygmalion dominated by Galatea- to be freee of the defenses that keep us hidden from ourselves&quot;<br /><br />reminds me of the art store that closed down near me Now it is an iphone repair shop :/",
24,gert,,"2025-12-17 22:18:35",gert,
25,Jonnie,,"2025-12-18 14:25:06","hey!! this is kinda out of the blue but i've been trying to reach out to folks who's work has inspired me as of late. first off i have to say, now that i've been learning more about web development, it is?? incredible?? that you built a whole oekaki sight, i was wowed by it before but even more so now!!<br /><br />and second i have to admit to previously being a silent admirer of your work before we became mutuals; your character design work in particular always inspires that drive in me, and i want to thank you for that.",
26,lotus,https://lotusmoonstart.neocities.org/,"2025-12-20 22:14:09","haiii just wanted to say that i saw your art years back and ur style really inspired me :D so glad to see u on neocities !",
27,lotus,https://lotusmoonstart.neocities.org/,"2025-12-23 21:08:59","i saw your sonic art ages ago and its inspired my art style so much :D nice to see u have a website! (i worry if this sent twice so if it did lmk LOL)",
28,"Ang ",,"2025-12-25 18:29:42","this site is adorable ",
29,Bee,,"2025-12-26 11:24:55","So sick pls never give up on ur passions ur mind is so cool!!",
30,Green,,"2025-12-28 22:14:46","I saw your website from a youtub video, cheers",
31,"Rocky Atomica",https://geoledgy.neocities.org/,"2026-01-03 19:02:15","Your site is so awesome!!! I love your layout!",
