id,name,url,date,comment,reply
1,triPixel,https://tripixel.neocities.org,"2024-09-22 12:32:24","glad to see the site back up after so long. :)",
2,pyu,https://saikyo-central.neocities.org,"2024-09-22 15:48:27","your art style is amazing! and i heavy appreciate all the art resources on your Links page!",
3,eblu,https://eblu.space,"2024-09-24 00:46:41","whoa! in love with the design of your site. you have a really good eye :o",
4,Frayzales,,"2024-10-17 13:29:36","Woah!! I wondered what you were up to and found this website on your tumblr. It looks so fucking rad!! Makes me want to kick butt to rise a proper website again. Gratz on your cool internet corner. Keep being cool!!",
5,tee,,"2024-10-19 15:23:45","this is the coolest site i love itttttt",
6,Sage,,"2024-10-21 11:02:14","this place is so cool!!  genuinely so pretty.  even the error page is stunning!","Thank you! the 404 is one of my favorite pages :']"
7,"cy melo",,"2024-10-25 08:13:33","I am so grateful I can math XD. greetings from penger.city.",
8,Anna,,"2024-10-21 20:28:09","HIII LUC I LOVE THE SITE SO FAR ITS AWESOME I CANT WAIT TO SEE WHAT ELSE YOU CREATE","HI MY FRIEND THANK YOU FOR COMING BY"
9,Smole,,"2024-11-01 00:26:32","Yooooo I love how your site looks! *Especially* a fan of how you've made your own page for your OCs!","Thank you so much!"
10,sion,https://sionique.neocities.org/,"2024-11-02 05:11:09","i want the oekaki bbs back","I do, too :). gotta update the security after some spamming, unfortunately."
11,saturn,,"2024-11-17 01:51:13","looking at your art and your website is inspiring me to keep drawing and doing what i love :]",
12,jack,,"2024-11-18 18:49:50","super cool website! love the vibes here",
13,milan,,"2024-11-21 15:33:37","supah cool",
14,mint,https://mint-thyme-city.neocities.org/,"2024-11-22 01:29:04","Hi, I just wanted to say, I stumbled on your site and its so inspiring!!<br /><br />I was curious, do you have any resources for making JS dress up games? I have my own and, well, lets just say you can feel how cobbled together the code is from the lag...","Hi! I believe I used the tutorial found here as a jumping off point, but I did make some changes. https://stashable.wordpress.com/2018/12/30/make-a-dress-up-game-using-javascript-html-and-css/ You're welcome to look through my JS file if you'd like to study it."
15,"Roscoe's Sweatsuit",,"2024-11-25 07:44:59","Awesome site! ",
16,Lua,https://goticotropical.com.br/intro/,"2024-12-03 19:09:27","Love your website, your art and OCs!! It got me inspired to organize a page for my OCs too ପ(๑•ᴗ•๑)ଓ ♡",
17,"Marina ",,"2024-12-26 04:02:23","So cool :0 I wanna like live in this internet page",
18,Dablu,,"2024-12-30 08:20:19","gorgeous web design. love the art.<br /><br />fun fact:<br />toby fox makes nice music",
19,ooov,,"2024-12-30 14:14:13","i looove how organized this site looks!",
20,Ellen,,"2025-01-12 23:31:05","I freak heavily with this website design. have a good day ",
21,Finny,https://humanfinny.neocities.org/,"2025-01-22 10:04:31","Hi Luc!! Just saw ur msg on my guestbook, thanks so much, really means a lot ",
22,toribytez,https://toribytez.neocities.org,"2025-02-07 14:09:19","I don't know how to explain this properly, but how do you create your interests tab in your abt page? Like whenever you click on a button/title in the navbar, it automatically scrolls to the article associated with that title?<br /><br />https://freakphone.net/abt.html","Hi! It's a carousel that uses radio inputs to trigger transitions between different sections. I think I used this tutorial-- https://yeolithm.com/carousel/tutorial"
23,rean,,"2025-07-04 09:49:51","your website is frickin cool i love you",
24,Alex,,"2025-07-02 08:36:07","AYO WASSUP THIS IS A GREAT WEBSITE MATE",
25,"Yama ",https://jesterbimboart.carrd.co/,"2025-06-16 12:04:45","howdy! your website is so cool and very fun to navigate",
26,bob,,"2025-06-08 09:55:49",hi,
27,IX,https://function9.net/,"2025-05-31 10:20:04","Wow! Seriously good, well thought out website layout. Every page is a beaut; nicely done :D",
28,"borg exclamation point",,"2025-05-26 17:47:09","is ur website referencing the OG freakphone starring freddie freaker?<br />would love to see a little version of him on here in ur style :)<br />https://freddiefreaker.fandom.com/wiki/1-900-490-FREAK<br />","It is! I'll have to draw a tribute sometime."
29,lentil,,"2025-05-16 16:17:10","this is such a cool site! it really makes me want to try and make my own. maybe a dumb question bc im a noob but how did you add that mini playlist + music player on your homepage? ",
30,rex,,"2025-05-09 07:23:02","love your site!!1! what a vibe!<br /><br />had fun with the opal dress up game especially, love the art and fashion. i want to steal their clothes",
31,Churro,,"2025-05-09 05:29:23","Love your website and your art!!",
32,Birdy,https://birdy39.neocities.org/,"2025-05-07 22:47:50","your website is sooooo freakin cool!! as a graphic designer i absolutely loooove this style you've got goin on ",
33,maddy,https://maddycha.com/,"2025-04-15 01:09:35","hi i love your site! i linked to you on mine, i hope you don't mind! have a lovely day ","thanks! added you back :^)"
34,sora,http://angelware.nekoweb.org,"2025-04-06 11:44:48","hi! just wanted to show appreciation for your art and your website design. you're super talented!",
35,queerblobfish,,"2025-07-12 19:56:53","ayo this is fire",
36,marcellus,,"2025-07-08 20:53:12","where is freak",
37,Yin,,"2025-07-07 21:32:23","Awesome site!",
38,waysentattoos,,"2025-07-16 01:00:00","Very cool! This reminds me of the early y2k websites - very nostalgic",
39,Meep,,"2025-07-15 13:03:02","Love your art!!! Cool website:-)",
40,k-angel,,"2025-08-31 15:26:09","lowk now im scared that i'll bever be able to make a website as cool as these ones...","you'll never know if you don't try! go for it!!!"
